,City,Clouds,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
301,Port-Gentil,40,GA,2019-09-30,88,-0.72,8.78,25.0,3.6
302,Hualmay,2,PE,2019-09-30,90,-11.1,-77.61,16.55,6.02
303,Tiznit,100,MA,2019-09-30,66,29.7,-9.73,22.45,4.16
304,Gazanjyk,87,TM,2019-09-30,37,39.24,55.52,16.95,3.83
305,Muli,1,CN,2019-09-30,49,28.08,109.56,18.35,0.78
306,Xianyang,100,CN,2019-09-30,82,34.31,108.72,21.67,3.0
307,Dwarka,75,IN,2019-09-30,88,28.58,77.04,28.33,2.6
308,Spodnja Idrija,20,SI,2019-09-30,93,46.03,14.02,19.44,0.5
309,Ljungby,6,SE,2019-09-30,76,56.83,13.94,11.0,5.1
310,Tuatapere,29,NZ,2019-09-30,83,-46.13,167.69,6.11,1.79
311,Lakeside,5,US,2019-09-30,37,32.86,-116.92,25.0,2.6
312,Kattivakkam,20,IN,2019-09-30,83,13.22,80.32,27.0,2.15
313,Chara,0,GR,2019-09-30,82,39.42,22.43,21.0,2.6
314,Yonago,40,JP,2019-09-30,83,35.42,133.37,24.0,2.1
315,Iquitos,75,PE,2019-09-30,319,-3.75,-73.25,6.0,2.6
316,Gibara,90,CU,2019-09-30,100,21.11,-76.13,23.0,7.7
317,Leninskoye,0,RU,2019-09-30,80,54.82,82.85,2.0,2.0
318,Ust-Maya,100,RU,2019-09-30,97,60.42,134.54,1.45,2.02
319,Praia da Vitoria,20,PT,2019-09-30,78,38.73,-27.07,22.0,1.5
320,Lithgow,70,AU,2019-09-30,93,-33.48,150.16,10.0,2.79
321,Termini Imerese,0,IT,2019-09-30,73,37.98,13.7,23.33,1.5
322,Westport,1,US,2019-09-30,63,41.14,-73.36,21.0,5.1
323,Umm Lajj,0,SA,2019-09-30,61,25.02,37.27,29.95,4.13
324,Zhoucheng,40,CN,2019-09-30,94,31.35,119.33,20.0,3.0
325,Tahe,100,CN,2019-09-30,99,52.34,124.71,3.15,1.42
